Classification,Yield,Trait_value,Stage,Trait,Condition
Elite,261.2218087,32.3151119,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,127.7520317,33.46097287,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,301.6139358,31.16674475,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,201.7423097,32.0752933,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,319.4314671,31.80061477,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,356.9956244,30.68952041,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,466.1539662,29.19802343,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,279.1740539,32.03225789,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,202.6152391,33.13808078,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,213.343225,33.39216586,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,250.1697514,32.73111434,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,212.8801952,33.50039127,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,229.9982729,32.49431621,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,296.0324704,31.28062778,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,383.9691594,30.9274481,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,252.4378291,32.29479609,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,332.4613027,31.02433434,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,250.2921316,32.33641672,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,325.3142898,31.59803636,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,190.6337706,33.50931935,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,280.9216356,31.48440688,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,272.1289448,31.95943462,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,323.9285365,31.00520775,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,330.7406715,32.12836336,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,362.59473,29.98229499,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,306.604375,31.59308413,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,286.1103968,32.25342771,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,255.3961907,31.35193431,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,450.662905,28.45517188,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,211.1737398,31.86599965,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,283.9635102,31.75421592,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,221.7938527,31.97644507,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,433.1076813,29.34220415,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,455.1851596,30.05467667,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,302.9302055,30.23392926,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,216.0330474,32.06863099,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,462.5022185,29.15640162,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,438.1787449,29.88286017,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,417.5983861,30.13571592,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,424.3258541,30.431402,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,430.909215,30.3118065,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,333.1645575,30.86027602,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,437.1813732,29.5511586,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,331.5205793,31.33686632,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,416.6504002,30.25689054,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,359.6745538,30.45728338,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,300.5544967,31.95148864,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,373.3637488,30.3844845,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,350.6010384,30.88518846,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,496.4190236,29.30685003,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,451.4322968,29.98327063,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,273.9835259,30.72941346,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,339.0935697,29.9239117,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,470.5418275,29.17309941,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,259.4813543,30.8206926,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,369.6700578,30.2003619,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,427.0300541,30.39235474,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,291.0883692,31.53033522,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,493.7966347,29.65625715,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,181.5093451,32.29243226,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,459.1524848,29.4915709,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,471.6028931,29.68028066,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,296.792152,32.22046578,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,253.7944937,30.48843929,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,159.4431935,33.14201448,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,404.807767,29.23225368,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,454.7427255,29.90222934,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,405.5322817,29.971314,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,397.6898915,30.6753109,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,185.7169193,32.69082614,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,450.9012558,29.94902616,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,263.6170037,31.21392066,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,268.8443955,31.52903204,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,450.8310767,29.70517395,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,332.895234,30.44837836,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,254.1143213,31.21825906,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,390.1068526,30.32562677,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,213.3427796,32.68060934,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,356.3656674,29.92492176,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,405.4951714,29.1549411,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,384.2423942,29.93830759,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,405.781921,29.89718945,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,389.1874401,30.13391898,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,447.8964233,29.41621244,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,462.4109795,28.97877664,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,421.2344531,29.77232469,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,427.6727078,30.0153164,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,435.9793964,29.56198859,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,410.8535579,29.37678492,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,239.8406929,32.88676821,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,401.8192438,30.33488892,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,374.5510603,30.00909982,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,394.1551739,30.87333763,Vegetative Stage,Canopy Temperature,Heat Stress
Exotic-derived,306.3726864,30.50381028,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,214.9383133,36.01360632,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,296.8605132,34.75392306,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,360.0275722,34.20120674,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,235.4395424,35.62105289,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,154.4604288,36.4625226,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,182.7820549,36.38150562,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,273.5387435,35.38241813,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,172.8906224,36.58922612,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,191.5248744,38.29595345,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,250.203849,35.58507115,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,141.3551492,36.32482733,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,205.9655379,35.60426416,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,297.1946515,34.59899612,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,290.0434225,33.59609216,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,267.5067012,36.05241795,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,220.4944116,36.20344729,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,330.3883898,34.88972462,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,256.7875513,35.81564942,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,335.0612428,34.19436594,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,308.563719,35.06766181,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,339.8533862,34.00116516,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,274.4773845,35.01312452,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,283.2818885,35.1568328,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,323.1745427,34.1953553,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,306.4897153,34.96707654,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,186.8309005,34.19506787,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,186.6696276,34.20340018,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,183.2118735,35.12179423,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,128.9917431,36.93625242,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,139.8633196,36.62690838,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,383.5641661,33.96252736,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,163.8396199,34.49822769,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,332.9750086,34.4016776,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,165.5186784,37.23225755,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,385.3081972,34.63713527,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,220.8235522,35.54889193,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,276.4000129,35.48452865,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,182.814219,37.04343661,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,379.0190399,33.99405397,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,286.483996,36.30321789,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,265.8799669,35.45245128,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,302.735238,35.26528834,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,273.2307553,35.22857006,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,276.6914964,35.5744188,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,314.0479484,34.35446121,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,312.2115841,34.25924395,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,189.6337423,35.96669812,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,252.1527693,35.50838615,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,208.7269229,36.18872883,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,169.7105891,34.21109822,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,363.3198038,33.96406137,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,230.8840627,36.32305486,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,229.6560062,35.52835463,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,327.0363649,34.05855805,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,290.8926952,33.92051013,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,261.2218087,36.5310093,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,127.7520317,37.45007256,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,301.6139358,34.8553643,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,201.7423097,34.80929407,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,319.4314671,35.14087299,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,356.9956244,34.23372212,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,466.1539662,31.9769258,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,279.1740539,35.72447071,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,202.6152391,36.78406136,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,213.343225,36.7266303,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,250.1697514,35.96283396,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,212.8801952,36.75956331,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,229.9982729,36.39921857,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,296.0324704,35.0424054,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,383.9691594,34.43040271,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,252.4378291,36.27084884,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,332.4613027,34.83601146,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,250.2921316,36.71895357,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,325.3142898,35.42564005,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,190.6337706,36.74682516,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,280.9216356,34.65132408,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,272.1289448,36.35636308,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,323.9285365,34.90691068,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,330.7406715,35.80987242,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,362.59473,33.33371218,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,306.604375,34.66501517,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,286.1103968,35.41098208,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,255.3961907,34.25432603,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,450.662905,31.32007068,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,211.1737398,36.09972842,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,283.9635102,34.96943936,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,221.7938527,34.64186763,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,433.1076813,31.86916727,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,455.1851596,32.66198545,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,302.9302055,33.84321681,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,216.0330474,35.90376572,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,462.5022185,31.59608823,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,438.1787449,32.60728516,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,417.5983861,33.44634612,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,424.3258541,33.28770944,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,430.909215,33.17789808,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,333.1645575,34.19113497,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,437.1813732,32.4350364,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,331.5205793,34.79405961,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,416.6504002,33.55282771,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,359.6745538,33.87242638,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,300.5544967,35.25925282,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,373.3637488,33.99938051,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,350.6010384,34.27243974,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,496.4190236,31.92694213,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,451.4322968,33.05739571,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,273.9835259,34.11877993,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,339.0935697,32.72874899,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,470.5418275,31.58620868,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,259.4813543,34.17926736,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,369.6700578,34.09693509,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,427.0300541,33.81211539,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,291.0883692,35.57883301,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,493.7966347,32.91809623,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,181.5093451,35.76777446,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,459.1524848,32.44144452,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,471.6028931,33.1651564,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,296.792152,35.26063591,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,253.7944937,33.98761376,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,159.4431935,36.79538659,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,404.807767,31.79193109,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,454.7427255,33.60836387,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,405.5322817,33.58645707,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,397.6898915,34.01507591,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,185.7169193,35.5715606,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,450.9012558,32.59674202,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,263.6170037,34.04543546,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,268.8443955,34.67110479,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,450.8310767,32.53516055,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,332.895234,33.94222085,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,254.1143213,35.54794731,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,390.1068526,33.55407964,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,213.3427796,36.6948101,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,356.3656674,33.73166206,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,405.4951714,31.82289131,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,384.2423942,33.04196017,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,405.781921,32.8202007,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,389.1874401,33.75464065,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,447.8964233,32.38259062,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,462.4109795,32.15518495,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,421.2344531,33.65666321,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,427.6727078,33.32972763,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,435.9793964,32.68181015,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,410.8535579,33.01538652,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,239.8406929,35.67981148,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,401.8192438,34.15037829,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,374.5510603,33.9178155,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,394.1551739,34.17127424,Grain Filling Stage,Canopy Temperature,Heat Stress
Exotic-derived,306.3726864,33.9221355,Grain Filling Stage,Canopy Temperature,Heat Stress
Elite,527.1285481,0.804766039,Vegetative Stage,NDVI,Yield Potential
Elite,503.8847993,0.81875971,Vegetative Stage,NDVI,Yield Potential
Elite,580.630016,0.819163984,Vegetative Stage,NDVI,Yield Potential
Elite,601.1250587,0.813066169,Vegetative Stage,NDVI,Yield Potential
Elite,616.8547412,0.8129753,Vegetative Stage,NDVI,Yield Potential
Elite,586.7167752,0.804808796,Vegetative Stage,NDVI,Yield Potential
Elite,597.4843481,0.808485966,Vegetative Stage,NDVI,Yield Potential
Elite,569.0109766,0.811675028,Vegetative Stage,NDVI,Yield Potential
Elite,484.5498518,0.808799145,Vegetative Stage,NDVI,Yield Potential
Elite,613.2972123,0.813059699,Vegetative Stage,NDVI,Yield Potential
Elite,585.5915301,0.814550226,Vegetative Stage,NDVI,Yield Potential
Elite,650.8182705,0.816960137,Vegetative Stage,NDVI,Yield Potential
Elite,531.3609069,0.818068293,Vegetative Stage,NDVI,Yield Potential
Elite,606.4414549,0.823743294,Vegetative Stage,NDVI,Yield Potential
Elite,575.4970789,0.813222888,Vegetative Stage,NDVI,Yield Potential
Elite,588.97176,0.797387618,Vegetative Stage,NDVI,Yield Potential
Elite,591.2275806,0.81535254,Vegetative Stage,NDVI,Yield Potential
Elite,683.2829889,0.806595399,Vegetative Stage,NDVI,Yield Potential
Elite,602.929282,0.825603168,Vegetative Stage,NDVI,Yield Potential
Elite,575.7216705,0.792705781,Vegetative Stage,NDVI,Yield Potential
Elite,685.5685794,0.803424467,Vegetative Stage,NDVI,Yield Potential
Elite,580.7904101,0.812274741,Vegetative Stage,NDVI,Yield Potential
Elite,582.5217224,0.824383605,Vegetative Stage,NDVI,Yield Potential
Elite,638.3686695,0.819116525,Vegetative Stage,NDVI,Yield Potential
Elite,605.0281267,0.830013653,Vegetative Stage,NDVI,Yield Potential
Elite,558.4888714,0.831292075,Vegetative Stage,NDVI,Yield Potential
Elite,626.1360378,0.818146618,Vegetative Stage,NDVI,Yield Potential
Elite,584.2967618,0.818159652,Vegetative Stage,NDVI,Yield Potential
Elite,595.6939772,0.806994557,Vegetative Stage,NDVI,Yield Potential
Elite,625.2314898,0.790863318,Vegetative Stage,NDVI,Yield Potential
Elite,612.3098838,0.815048476,Vegetative Stage,NDVI,Yield Potential
Elite,499.1792674,0.810110416,Vegetative Stage,NDVI,Yield Potential
Elite,623.3803796,0.81713597,Vegetative Stage,NDVI,Yield Potential
Elite,594.7671003,0.787398359,Vegetative Stage,NDVI,Yield Potential
Elite,615.2322548,0.82603129,Vegetative Stage,NDVI,Yield Potential
Elite,625.8226975,0.795728148,Vegetative Stage,NDVI,Yield Potential
Elite,622.4344742,0.808752603,Vegetative Stage,NDVI,Yield Potential
Elite,628.9033781,0.805290716,Vegetative Stage,NDVI,Yield Potential
Elite,621.7027521,0.823212641,Vegetative Stage,NDVI,Yield Potential
Elite,495.3587485,0.802532633,Vegetative Stage,NDVI,Yield Potential
Elite,581.5122744,0.802162786,Vegetative Stage,NDVI,Yield Potential
Elite,591.2599682,0.817892837,Vegetative Stage,NDVI,Yield Potential
Elite,639.3217932,0.815241093,Vegetative Stage,NDVI,Yield Potential
Elite,525.0701418,0.807316782,Vegetative Stage,NDVI,Yield Potential
Elite,603.9250205,0.826747293,Vegetative Stage,NDVI,Yield Potential
Elite,553.587357,0.824726882,Vegetative Stage,NDVI,Yield Potential
Elite,540.8343742,0.822176343,Vegetative Stage,NDVI,Yield Potential
Elite,615.2428454,0.804043951,Vegetative Stage,NDVI,Yield Potential
Elite,601.3058598,0.809381791,Vegetative Stage,NDVI,Yield Potential
Elite,583.503137,0.823379583,Vegetative Stage,NDVI,Yield Potential
Elite,646.7870353,0.815133868,Vegetative Stage,NDVI,Yield Potential
Elite,629.2594758,0.819931764,Vegetative Stage,NDVI,Yield Potential
Elite,597.9127669,0.802591225,Vegetative Stage,NDVI,Yield Potential
Elite,588.7943502,0.825844176,Vegetative Stage,NDVI,Yield Potential
Elite,641.89376,0.823324118,Vegetative Stage,NDVI,Yield Potential
Elite,647.4814325,0.812052008,Vegetative Stage,NDVI,Yield Potential
Elite,588.9501478,0.820909473,Vegetative Stage,NDVI,Yield Potential
Elite,575.6603082,0.823049969,Vegetative Stage,NDVI,Yield Potential
Elite,589.536452,0.81751601,Vegetative Stage,NDVI,Yield Potential
Elite,565.8486178,0.79556755,Vegetative Stage,NDVI,Yield Potential
Elite,647.7513703,0.810538084,Vegetative Stage,NDVI,Yield Potential
Elite,554.1517762,0.824387055,Vegetative Stage,NDVI,Yield Potential
Elite,579.8026216,0.792996529,Vegetative Stage,NDVI,Yield Potential
Elite,616.719156,0.801523983,Vegetative Stage,NDVI,Yield Potential
Elite,611.6053557,0.807812206,Vegetative Stage,NDVI,Yield Potential
Elite,640.5813282,0.794580772,Vegetative Stage,NDVI,Yield Potential
Elite,692.4405793,0.790928691,Vegetative Stage,NDVI,Yield Potential
Elite,592.5335827,0.791937932,Vegetative Stage,NDVI,Yield Potential
Elite,612.3689626,0.816252056,Vegetative Stage,NDVI,Yield Potential
Elite,638.4555857,0.807320403,Vegetative Stage,NDVI,Yield Potential
Elite,610.3350124,0.790461777,Vegetative Stage,NDVI,Yield Potential
Elite,653.0681843,0.802201581,Vegetative Stage,NDVI,Yield Potential
Elite,612.1150149,0.806102241,Vegetative Stage,NDVI,Yield Potential
Elite,641.3434476,0.814281384,Vegetative Stage,NDVI,Yield Potential
Elite,623.0681158,0.784603751,Vegetative Stage,NDVI,Yield Potential
Elite,594.1238696,0.822526476,Vegetative Stage,NDVI,Yield Potential
Elite,618.8081132,0.80806802,Vegetative Stage,NDVI,Yield Potential
Elite,692.9354068,0.813165486,Vegetative Stage,NDVI,Yield Potential
Elite,657.961883,0.782973932,Vegetative Stage,NDVI,Yield Potential
Elite,594.5463511,0.822766198,Vegetative Stage,NDVI,Yield Potential
Elite,559.9719031,0.814140264,Vegetative Stage,NDVI,Yield Potential
Elite,587.0353689,0.812233204,Vegetative Stage,NDVI,Yield Potential
Elite,557.8904019,0.84211126,Vegetative Stage,NDVI,Yield Potential
Exotic-derived,613.9230525,0.819374054,Vegetative Stage,NDVI,Yield Potential
Exotic-derived,564.2961813,0.811159241,Vegetative Stage,NDVI,Yield Potential
Exotic-derived,552.8524988,0.815846004,Vegetative Stage,NDVI,Yield Potential
Exotic-derived,630.8324944,0.811399187,Vegetative Stage,NDVI,Yield Potential
Exotic-derived,585.571525,0.81936109,Vegetative Stage,NDVI,Yield Potential
Exotic-derived,539.9864472,0.824528895,Vegetative Stage,NDVI,Yield Potential
Exotic-derived,602.8943485,0.828528873,Vegetative Stage,NDVI,Yield Potential
